epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,114.628,0.14638,0.97967,1,0.04979,0.000550522,0.000550522,0.000550522
2,226.035,0.09012,0.97764,1,0.07379,0.00108429,0.00108429,0.00108429
3,1263.01,0.10206,0.97967,1,0.06747,0.00159605,0.00159605,0.00159605
4,1372.38,0.06483,0.96951,1,0.14799,0.00156798,0.00156798,0.00156798
5,1481.76,0.11578,0.97561,1,0.08938,0.00153497,0.00153497,0.00153497
6,1592.39,0.08549,0.9878,1,0.04129,0.00150197,0.00150197,0.00150197
7,1700.42,0.09625,0.90854,1,0.20526,0.00146896,0.00146896,0.00146896
8,1810.71,0.07926,0.99797,1,0.01153,0.00143595,0.00143595,0.00143595
9,1952.3,0.04865,0.98577,1,0.03091,0.00140295,0.00140295,0.00140295
10,2103.72,0.05202,0.9878,1,0.02806,0.00136994,0.00136994,0.00136994
11,2251.18,0.04951,0.99593,1,0.01151,0.00133693,0.00133693,0.00133693
12,2395.49,0.04816,0.98374,1,0.04794,0.00130393,0.00130393,0.00130393
13,2503.89,0.0391,0.99797,1,0.00777,0.00127092,0.00127092,0.00127092
14,2613.61,0.04434,0.9939,1,0.01375,0.00123791,0.00123791,0.00123791
15,2728.74,0.02506,1,1,0.00295,0.00120491,0.00120491,0.00120491
16,2836.13,0.03853,0.98374,1,0.0385,0.0011719,0.0011719,0.0011719
17,2941.97,0.03086,1,1,0.00375,0.00113889,0.00113889,0.00113889
18,3044.4,0.04349,0.99187,1,0.02104,0.00110589,0.00110589,0.00110589
19,3144.89,0.03404,0.99593,1,0.01508,0.00107288,0.00107288,0.00107288
20,3245.74,0.02291,0.99797,1,0.01006,0.00103987,0.00103987,0.00103987
21,3346.6,0.01997,0.99593,1,0.00872,0.00100687,0.00100687,0.00100687
22,3445.89,0.02365,0.9939,1,0.00726,0.000973861,0.000973861,0.000973861
23,3547.81,0.03139,1,1,0.0073,0.000940855,0.000940855,0.000940855
24,3647.44,0.02938,0.99187,1,0.01109,0.000907848,0.000907848,0.000907848
25,3747.03,0.02006,1,1,0.00444,0.000874842,0.000874842,0.000874842
